ExperimentNumber,NumberOfNodes,TrainingPeriods,PreShockRounds,TieBenefit,TriangleBenefit,SpilloverBenefit,PreShockCost,PostShockCost,NumberNodesShocked,PointsMultiplier,Period,ActivePlayer,PlayerName,Shocked,Profit,PlayerConnectedToLayer-1_Node1,PlayerConnectedToLayer-1_Node2,PlayerConnectedToLayer-1_Node3,PlayerConnectedToLayer-1_Node4,PlayerConnectedToLayer-1_Node5,PlayerConnectedToLayer-1_Node6,PlayerConnectedToLayer-2_Node1,PlayerConnectedToLayer-2_Node2,PlayerConnectedToLayer-2_Node3,PlayerConnectedToLayer-2_Node4,PlayerConnectedToLayer-2_Node5,PlayerConnectedToLayer-2_Node6,gender,year,major
1,6,2,12,1.0,0.9,0.3,0.6,0.6,0,0.5,1,1,1,0,-0.1,0,0,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,1,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,1,1,3,0,-0.1,1,0,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,1,1,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,1,1,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,1,1,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,2,5,1,0,-0.1,0,0,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,2,5,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,2,5,3,0,-0.1,1,0,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,2,5,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,2,5,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,2,5,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,3,3,1,0,-0.1,0,0,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,3,3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,3,3,3,0,-0.1,1,0,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,3,3,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,3,3,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,3,3,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,4,2,1,0,-0.1,0,0,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,4,2,2,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,4,2,3,0,-2.1,1,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,4,2,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,4,2,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,4,2,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,5,4,1,0,-0.1,0,0,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,5,4,2,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,5,4,3,0,-2.1,1,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,5,4,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,5,4,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,5,4,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,6,6,1,0,-0.1,0,0,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,6,6,2,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,6,6,3,0,-2.1,1,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,6,6,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,6,6,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,6,6,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,7,2,1,0,-1.2,0,1,1,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,7,2,2,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,7,2,3,0,-1.2,1,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,7,2,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,7,2,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,7,2,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,8,1,1,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,8,1,2,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,8,1,3,0,-0.4,0,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,8,1,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,8,1,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,8,1,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,9,5,1,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0, F,Senior,Math
,,,,,,,,,,,9,5,2,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,9,5,3,0,-0.4,0,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,9,5,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
,,,,,,,,,,,9,5,5,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,F,Freshman,Soc
,,,,,,,,,,,9,5,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,F,Freshman,other
,,,,,,,,,,,10,6,1,0,-2.1,0,0,0,0,0,1,0,0,1,0,0,1, F,Senior,Math
,,,,,,,,,,,10,6,2,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,M,Junior,Engi
,,,,,,,,,,,10,6,3,0,-0.4,0,1,0,0,0,0,1,0,0,0,0,0,M,Senior,Hum
,,,,,,,,,,,10,6,4,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,M,Junior,Hum
